Title,Author,Language,Release_Date,Subjects,Bookshelf,file_path,label
"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley","Shelley, Mary Wollstonecraft, 1797-1851",Unknown,"Oct 1, 1993","Science fiction, Horror tales, Gothic fiction, Scientists -- Fiction, Monsters -- Fiction, Frankenstein, Victor (Fictitious character) -- Fiction, Frankenstein's monster (Fictitious character) -- Fiction","Bookshelves, In Gothic Fiction, In Movie Books, In Precursors of Science Fiction, In Science Fiction by Women, In Browsing: Culture/Civilization/Society, In Browsing: Gender & Sexuality Studies, In Browsing: Literature, In Browsing: Science-Fiction & Fantasy, In Browsing: Fiction",Frankenstein_Or_The_Modern_Prometheus_by_Mary_Wollstonecraft_Shelley_6620.txt,human
Pride and Prejudice by Jane Austen,"Austen, Jane, 1775-1817",Unknown,"Jun 1, 1998","England -- Fiction, Young women -- Fiction, Love stories, Sisters -- Fiction, Domestic fiction, Courtship -- Fiction, Social classes -- Fiction","Bookshelves, In Best Books Ever Listings, In Harvard Classics, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",Pride_and_Prejudice_by_Jane_Austen_2925.txt,human
Romeo and Juliet by William Shakespeare,"Shakespeare, William, 1564-1616",Unknown,"Nov 1, 1998","Vendetta -- Drama, Youth -- Drama, Verona (Italy) -- Drama, Juliet (Fictitious character) -- Drama, Romeo (Fictitious character) -- Drama, Conflict of generations -- Drama, Tragedies","Bookshelves, In Browsing: Literature, In Browsing: Poetry, In Browsing: Fiction",Romeo_and_Juliet_by_William_Shakespeare_2765.txt,human
"Moby Dick; Or, The Whale by Herman Melville","Melville, Herman, 1819-1891",Unknown,"Jul 1, 2001","Whaling -- Fiction, Sea stories, Psychological fiction, Ship captains -- Fiction, Adventure stories, Mentally ill -- Fiction, Ahab, Captain (Fictitious character) -- Fiction, Whales -- Fiction, Whaling ships -- Fiction","Bookshelves, In Best Books Ever Listings, In Browsing: Literature, In Browsing: Fiction",Moby_Dick_Or_The_Whale_by_Herman_Melville_2657.txt,human
The Scarlet Letter by Nathaniel Hawthorne,"Hawthorne, Nathaniel, 1804-1864, Anthony, A. V. S. (Andrew Varick Stout), 1835-1906, Foote, Mary Hallock, 1847-1938, Ipsen, Ludvig Sandöe",Unknown,"May 5, 2008","Adultery -- Fiction, Historical fiction, Revenge -- Fiction, Psychological fiction, Married women -- Fiction, Clergy -- Fiction, Triangles (Interpersonal relations) -- Fiction, Illegitimate children -- Fiction, Women immigrants -- Fiction, Puritans -- Fiction, Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction","Bookshelves, In Banned Books from Anne Haight's list, In Browsing: Culture/Civilization/Society, In Browsing: History - American, In Browsing: Literature, In Browsing: Fiction",The_Scarlet_Letter_by_Nathaniel_Hawthorne_2294.txt,human
Alice's Adventures in Wonderland by Lewis Carroll,"Carroll, Lewis, 1832-1898",Unknown,"Jun 27, 2008","Fantasy fiction, Children's stories, Imaginary places -- Juvenile fiction, Alice (Fictitious character from Carroll) -- Juvenile fiction","Bookshelves, In Children's Literature, In Browsing: Children & Young Adult Reading, In Browsing: Fiction",Alices_Adventures_in_Wonderland_by_Lewis_Carroll_1938.txt,human
Middlemarch by George Eliot,"Eliot, George, 1819-1880",Unknown,"Jul 1, 1994","Didactic fiction, City and town life -- Fiction, England -- Fiction, Young women -- Fiction, Love stories, Domestic fiction, Married people -- Fiction, Bildungsromans","Bookshelves, In Historical Fiction, In Best Books Ever Listings, In Browsing: Culture/Civilization/Society, In Browsing: History - British, In Browsing: Literature, In Browsing: Fiction",Middlemarch_by_George_Eliot_1902.txt,human
A Room with a View by E. M. Forster,"Forster, E. M. (Edward Morgan), 1879-1970",Unknown,"May 1, 2001","Humorous stories, England -- Fiction, Young women -- Fiction, British -- Italy -- Fiction, Florence (Italy) -- Fiction","Bookshelves, In Italy, In Browsing: Culture/Civilization/Society, In Browsing: Humour, In Browsing: Literature, In Browsing: Travel & Geography, In Browsing: Fiction",A_Room_with_a_View_by_E_M__Forster_1839.txt,human
The Complete Works of William Shakespeare by William Shakespeare,"Shakespeare, William, 1564-1616",Unknown,"Jan 1, 1994","English drama -- Early modern and Elizabethan, 1500-1600","Bookshelves, In Plays, In Browsing: Literature, In Browsing: Fiction",The_Complete_Works_of_William_Shakespeare_by_William_Shakespeare_1823.txt,human
"Little Women; Or, Meg, Jo, Beth, and Amy by Louisa May Alcott","Alcott, Louisa May, 1832-1888, Merrill, Frank T., 1848-1923",Unknown,"Aug 16, 2011","Autobiographical fiction, Young women -- Fiction, Sisters -- Fiction, Domestic fiction, Family life -- New England -- Fiction, New England -- Fiction, Bildungsromans, Mothers and daughters -- Fiction, March family (Fictitious characters) -- Fiction","Bookshelves, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",Little_Women_Or_Meg_Jo_Beth_and_Amy_by_Louisa_May_Alcott_1788.txt,human
